rifkin's references are . . . impeccable throughout . ,1
the talented and clever robert rodriguez perhaps put a little too much heart into his first film and didn't reserve enough for his second . ,0
an unsophisticated sci-fi drama that takes itself all too seriously . ,0
a hidden-agenda drama that shouts classic french nuance . ,1
"instead of hitting the audience over the head with a moral , schrader relies on subtle ironies and visual devices to convey point of view . ",1
"busy urban comedy is clearly not zhang's forte , his directorial touch is neither light nor magical enough to bring off this kind of whimsy . ",0
"as [the characters] get more depressed , the story gets more tiresome , especially as it continues to mount a conspicuous effort to be profound . ",0
"[t]his slop doesn't even have potential as a cult film , as it's too loud to shout insults at the screen . ",0
"the long-range appeal of "" minority report "" should transcend any awards it bags . this is one for the ages . ",1
"the plot is straight off the shelf , the performances are television- caliber and the message of providing solace through deception is a little creepy . ",0
"in imax in short , it's just as wonderful on the big screen . ",1
"a bittersweet contemporary comedy about benevolent deception , which , while it may not rival the filmmaker's period pieces , is still very much worth seeing . ",1
beware the quirky brit-com . they can and will turn on a dime from oddly humorous to tediously sentimental . ,0
"expands the limits of what a film can be , taking us into the lives of women to whom we might not give a second look if we passed them on the street . ",1
to get at the root psychology of this film would require many sessions on the couch of dr . freud . ,1
"in its own floundering way , it gets to you . just like igby . ",1
"good , solid storytelling . ",1
"though filmed partly in canada , paid in full has clever ways of capturing inner-city life during the reagan years . ",1
"an overstylized , puréed mélange of sex , psychology , drugs and philosophy . sometimes entertaining , sometimes indulgent -- but never less than pure wankery . ",0
"scooby doo is surely everything its fans are hoping it will be , and in that sense is a movie that deserves recommendation . ",1
stage director sam mendes showcases tom hanks as a depression era hit-man in this dark tale of revenge . ,1
"[t]hose same extremes prevent us from taking its message seriously , and the stepford wives mentality doesn't work in a modern context . ",0
each scene wreaks of routine ; the film never manages to generate a single threat of suspense . ,0
it's been 20 years since 48 hrs . made eddie murphy a movie star and the man hasn't aged a day . but his showboating wise-cracker stock persona sure is getting old . ,0
it's as raw and action-packed an experience as a ringside seat at a tough-man contest . ,1
"with tightly organized efficiency , numerous flashbacks and a constant edge of tension , miller's film is one of 2002's involvingly adult surprises . ",1
"if you're not into the pokemon franchise , this fourth animated movie in four years won't convert you -- or even keep your eyes open . but fans should have fun meeting a brand-new pokemon called celebi . ",1
the hanukkah spirit seems fried in pork . ,0
"a movie i loved on first sight and , even more important , love in remembrance . ",1
a bit of an unwieldy mess . ,0
there are some wonderfully fresh moments that smooth the moral stiffness with human kindness and hopefulness . ,1
"the movie's something-borrowed construction feels less the product of loving , well integrated homage and more like a mere excuse for the wan , thinly sketched story . killing time , that's all that's going on here . ",0
this version of h . g . wells' time machine was directed by h . g . wells' great-grandson . they should have found orson welles' great-grandson . ,0
 . . . a thoughtful what-if for the heart as well as the mind . ,1
tiresomely derivative and hammily acted . ,0
"though the film is well-intentioned , one could rent the original and get the same love story and parable . ",0
"well-nigh unendurable . . . though the picture strains to become cinematic poetry , it remains depressingly prosaic and dull . ",0
"in addition to gluing you to the edge of your seat , changing lanes is also a film of freshness , imagination and insight . ",1
"an uncomfortable experience , but one as brave and challenging as you could possibly expect these days from american cinema . ",1
"the misery of these people becomes just another voyeuristic spectacle , to be consumed and forgotten . ",0
 . . . liotta is put in an impossible spot because his character's deceptions ultimately undo him and the believability of the entire scenario . too bad . ,0
"if shayamalan wanted to tell a story about a man who loses his faith , why didn't he just do it , instead of using bad sci-fi as window dressing ? ",0
"blessed with immense physical prowess he may well be , but ahola is simply not an actor . and in truth , cruel as it may sound , he makes arnold schwarzenegger look like spencer tracy . ",0
there is greatness here . ,1
"[toback's] fondness for fancy split-screen , stuttering editing and pompous references to wittgenstein and kirkegaard . . . blends uneasily with the titillating material . ",0
this dreadfully earnest inversion of the concubine love triangle eschews the previous film's historical panorama and roiling pathos for bug-eyed mugging and gay-niche condescension . ,0
"sometimes , nothing satisfies like old-fashioned swashbuckling . and in this regard , on guard delivers . ",1
"lasker's canny , meditative script distances sex and love , as byron and luther . . . realize they can't get no satisfaction without the latter . ",1
just how extreme are these ops ? i regret to report that these ops are just not extreme enough . ,0
"from beginning to end , this overheated melodrama plays like a student film . ",0
"a tired , unnecessary retread . . . a stale copy of a picture that wasn't all that great to begin with . ",0
cliches are as thick as the cigarette smoke . ,0
don't expect any surprises in this checklist of teamwork cliches . . . ,1
"scene-by-scene , things happen , but you'd be hard-pressed to say what or why . ",0
obvious,0
"nohe's documentary about the event is sympathetic without being gullible : he isn't blind to the silliness , but also captures moments of spontaneous creativity and authentic co-operative interaction . ",1
done in mostly by a weak script that can't support the epic treatment . ,0
"when perry fists a bull at the moore farm , it's only a matter of time before he gets the upper hand in matters of the heart . ",0
"an incendiary , deeply thought-provoking look at one of the most peculiar ( and peculiarly venomous ) bigotries in our increasingly frightening theocracy",1
any one episode of the sopranos would send this ill-conceived folly to sleep with the fishes . ,0
"for most of its footage , the new thriller proves that director m . night shyamalan can weave an eerie spell and that mel gibson can gasp , shudder and even tremble without losing his machismo . ",1
"an undeniably moving film to experience , and ultimately that's what makes it worth a recommendation . ",1
a seriously bad film with seriously warped logic by writer-director kurt wimmer at the screenplay level . ,0
"unfolds as one of the most politically audacious films of recent decades from any country , but especially from france . ",1
charlize chases kevin with a gun . courtney chases stuart with a cell phone . the sound of gunfire and cell phones ringing . ,0
"a serious movie with serious ideas . but seriously , folks , it doesn't work . ",0
an original little film about one young woman's education . ,1
"as the dominant christine , sylvie testud is icily brilliant . ",1
"priggish , lethargically paced parable of renewal . ",0
it has more than a few moments that are insightful enough to be fondly remembered in the endlessly challenging maze of moviegoing . ,1
writer-director juan carlos fresnadillo makes a feature debut that is fully formed and remarkably assured . ,1
"a smart and funny , albeit sometimes superficial , cautionary tale of a technology in search of an artist . ",1
"some of seagal's action pictures are guilty pleasures , but this one is so formulaic that it seems to be on auto-pilot . ",0
a true pleasure . ,1
 . . . a triumph of emotionally and narratively complex filmmaking . ,1
"the delicious trimmings…arrive early and stay late , filling nearly every minute…with a lighthearted glow , some impudent snickers , and a glorious dose of humankind's liberating ability to triumph over a scrooge or two . ",1
"though not for everyone , the guys is a somber trip worth taking . ",1
a journey that is as difficult for the audience to take as it is for the protagonist -- yet it's potentially just as rewarding . ,1
overall tomfoolery like this is a matter of taste . ,0
it's no accident that the accidental spy is a solid action pic that returns the martial arts master to top form . ,1
"barry convinces us he's a dangerous , secretly unhinged guy who could easily have killed a president because it made him feel powerful . ",1
"rarely do films come along that are as intelligent , exuberant , and moving as monsoon wedding . ",1
"cassavetes thinks he's making dog day afternoon with a cause , but all he's done is to reduce everything he touches to a shrill , didactic cartoon . ",0
"like its new england characters , most of whom wander about in thick clouds of denial , the movie eventually gets around to its real emotional business , striking deep chords of sadness . ",1
"the movie's seams may show . . . but pellington gives "" mothman "" an irresistibly uncanny ambience that goes a long way toward keeping the picture compelling . ",1
"no sophomore slump for director sam mendes , who segues from oscar winner to oscar-winning potential with a smooth sleight of hand . ",1
